Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
Vijaya Bank,350874.0,296776.0,647650.0,243.34,524600.0,(A) Public Sector Banks,2014-10-22
Public Sector Banks Sub Total,19923405.0,19779051.0,39702456.0,29121.22,21852910.0,(A) Public Sector Banks,2014-10-22
Canara Bank,219423.0,108438.0,327861.0,0.0,96896.0,(B) Regional Rural Bank,2014-10-22
UCO Bank,191019.0,7273.0,198292.0,1002.59,9744.0,(B) Regional Rural Bank,2014-10-22
Union Bank of India,335132.0,95063.0,430195.0,1797.53,9502.0,(B) Regional Rural Bank,2014-10-22
Regional Rural Banks Sub Total,745574.0,210774.0,956348.0,2800.12,116142.0,(B) Regional Rural Bank,2014-10-22
Axis Bank Ltd,63692.0,112509.0,176201.0,26.38,58801.0,(C) Major Private Banks,2014-10-22
City Union Bank Ltd,6676.0,29391.0,36067.0,41.79,0.0,(C) Major Private Banks,2014-10-22
Federal Bank Ltd,99568.0,31324.0,130892.0,381.41,37688.0,(C) Major Private Banks,2014-10-22
HDFC Bank Ltd,94632.0,424679.0,519311.0,206.42,84672.0,(C) Major Private Banks,2014-10-22
ICICI Bank Ltd,333259.0,85438.0,418697.0,258.2,89660.0,(C) Major Private Banks,2014-10-22
IndusInd Bank Ltd,7745.0,33768.0,41513.0,4.98,23657.0,(C) Major Private Banks,2014-10-22
Karur Vysya Bank,4003.0,47389.0,51392.0,26.84,39630.0,(C) Major Private Banks,2014-10-22
Major Private Banks Sub Total,609575.0,764498.0,1374073.0,946.01,334108.0,(C) Major Private Banks,2014-10-22
Public Sector Banks,28574563.0,24190468.0,52765031.0,314628.43,28918571.0,Summary,2014-10-29
Regional Rural Banks,9382212.0,1823299.0,11205511.0,57879.58,1100154.0,Summary,2014-10-29
Private Sector Banks,670273.0,875442.0,1545715.0,22308.47,431858.0,Summary,2014-10-29
Grand Total,38627048.0,26889209.0,65516257.0,394816.48,30450583.0,Summary,2014-10-29
Allahabad Bank,1180117.0,536891.0,1717008.0,2212.03,495162.0,(A) Public Sector Banks,2014-10-29
Andhra Bank,715393.0,508537.0,1223930.0,1803.57,1085174.0,(A) Public Sector Banks,2014-10-29
Bank of Baroda,1440998.0,2173483.0,3614481.0,20506.68,3029850.0,(A) Public Sector Banks,2014-10-29
Bank of India,1225201.0,1811651.0,3036852.0,7683.45,2164745.0,(A) Public Sector Banks,2014-10-29
Bank of Maharashtra,737632.0,371799.0,1109431.0,3910.34,324981.0,(A) Public Sector Banks,2014-10-29
Bhartiya Mahila Bank,0.0,33380.0,33380.0,107.22,33042.0,(A) Public Sector Banks,2014-10-29
Canara Bank,2346691.0,1181295.0,3527986.0,7368.32,218108.0,(A) Public Sector Banks,2014-10-29
Central Bank of India,2401276.0,804865.0,3206141.0,7257.58,1401166.0,(A) Public Sector Banks,2014-10-29
Corporation Bank,588869.0,549513.0,1138382.0,8667.15,548370.0,(A) Public Sector Banks,2014-10-29
Dena Bank,747110.0,472212.0,1219322.0,4138.05,785898.0,(A) Public Sector Banks,2014-10-29
IDBI Bank Ltd.,269052.0,269691.0,538743.0,656.96,270422.0,(A) Public Sector Banks,2014-10-29
Indian Bank,1065510.0,655990.0,1721500.0,3657.4,1673750.0,(A) Public Sector Banks,2014-10-29
Indian Overseas Bank,536906.0,1136122.0,1673028.0,806.17,1042020.0,(A) Public Sector Banks,2014-10-29
Oriental Bank of Commerce,790671.0,580467.0,1371138.0,32730.56,624934.0,(A) Public Sector Banks,2014-10-29
Punjab & Sind Bank,512775.0,298447.0,811222.0,17115.08,602759.0,(A) Public Sector Banks,2014-10-29
Punjab National Bank,2721344.0,728270.0,3449614.0,77524.31,1353333.0,(A) Public Sector Banks,2014-10-29
State Bank of Hyderabad,464117.0,987278.0,1451395.0,3525.16,1276878.0,(A) Public Sector Banks,2014-10-29
State Bank of India,4786505.0,6806013.0,11592518.0,12144.47,5817120.0,(A) Public Sector Banks,2014-10-29
State Bank of Patiala,285788.0,551030.0,836818.0,22272.95,674453.0,(A) Public Sector Banks,2014-10-29
State Bank of Travancore,28237.0,247930.0,276167.0,16683.85,93784.0,(A) Public Sector Banks,2014-10-29
Syndicate Bank,1369980.0,784577.0,2154557.0,8328.2,728509.0,(A) Public Sector Banks,2014-10-29
UCO Bank,969136.0,991000.0,1960136.0,25871.41,1007516.0,(A) Public Sector Banks,2014-10-29
Union Bank of India,1987763.0,677956.0,2665719.0,8359.08,2016246.0,(A) Public Sector Banks,2014-10-29
United Bank of India,1033652.0,726146.0,1759798.0,20390.77,1063383.0,(A) Public Sector Banks,2014-10-29
Vijaya Bank,369840.0,305925.0,675765.0,907.65,586968.0,(A) Public Sector Banks,2014-10-29
Public Sector Banks Sub Total,28574563.0,24190468.0,52765031.0,314628.43,28918571.0,(A) Public Sector Banks,2014-10-29
Allahabad Bank,365712.0,70532.0,436244.0,449.32,62023.0,(B) Regional Rural Bank,2014-10-29
Andhra Bank,76451.0,7334.0,83785.0,148.62,0.0,(B) Regional Rural Bank,2014-10-29
Bank of Baroda,724876.0,213656.0,938532.0,3722.4,264010.0,(B) Regional Rural Bank,2014-10-29
Bank of India,751934.0,165596.0,917530.0,732.85,41630.0,(B) Regional Rural Bank,2014-10-29
Bank of Maharashtra,117237.0,39036.0,156273.0,82.99,17737.0,(B) Regional Rural Bank,2014-10-29
Canara Bank,232255.0,118864.0,351119.0,0.0,128718.0,(B) Regional Rural Bank,2014-10-29
Central Bank of India,949888.0,174622.0,1124510.0,8686.93,42328.0,(B) Regional Rural Bank,2014-10-29
Dena Bank,104899.0,4251.0,109150.0,484.64,24318.0,(B) Regional Rural Bank,2014-10-29
Indian Bank,207048.0,34831.0,241879.0,583.57,0.0,(B) Regional Rural Bank,2014-10-29
Indian Overseas Bank,245372.0,8955.0,254327.0,1254.68,0.0,(B) Regional Rural Bank,2014-10-29
Punjab & Sind Bank,8429.0,1453.0,9882.0,0.0,0.0,(B) Regional Rural Bank,2014-10-29
Punjab National Bank,978367.0,200476.0,1178843.0,9284.25,122885.0,(B) Regional Rural Bank,2014-10-29
State Bank of Bikaner & Jaipur,549708.0,262606.0,812314.0,8341.58,252804.0,(B) Regional Rural Bank,2014-10-29
State Bank of Hyderabad,278135.0,8548.0,286683.0,0.0,0.0,(B) Regional Rural Bank,2014-10-29
State Bank of India,1298391.0,201956.0,1500347.0,6666.48,35932.0,(B) Regional Rural Bank,2014-10-29
State Bank of Patiala,28981.0,558.0,29539.0,59.09,1076.0,(B) Regional Rural Bank,2014-10-29
Syndicate Bank,547609.0,182061.0,729670.0,5817.83,59596.0,(B) Regional Rural Bank,2014-10-29
UCO Bank,239739.0,7389.0,247128.0,1072.33,10742.0,(B) Regional Rural Bank,2014-10-29
Union Bank of India,344257.0,99488.0,443745.0,1872.22,10515.0,(B) Regional Rural Bank,2014-10-29
United Bank of India,1332924.0,21087.0,1354011.0,8619.81,25840.0,(B) Regional Rural Bank,2014-10-29
Regional Rural Banks Sub Total,9382212.0,1823299.0,11205511.0,57879.58,1100154.0,(B) Regional Rural Bank,2014-10-29
Axis Bank Ltd,64315.0,115077.0,179392.0,667.07,62094.0,(C) Major Private Banks,2014-10-29
City Union Bank Ltd,7029.0,30836.0,37865.0,146.31,0.0,(C) Major Private Banks,2014-10-29
Federal Bank Ltd,93236.0,29354.0,122590.0,9012.04,44407.0,(C) Major Private Banks,2014-10-29
HDFC Bank Ltd,101017.0,446653.0,547670.0,11364.97,92141.0,(C) Major Private Banks,2014-10-29
ICICI Bank Ltd,359495.0,88874.0,448369.0,705.92,117348.0,(C) Major Private Banks,2014-10-29
IndusInd Bank Ltd,8110.0,46438.0,54548.0,38.14,28489.0,(C) Major Private Banks,2014-10-29
Karur Vysya Bank,4169.0,49549.0,53718.0,96.77,42744.0,(C) Major Private Banks,2014-10-29
Kotak Mahindra Bank Ltd,20766.0,14797.0,35563.0,35.72,34239.0,(C) Major Private Banks,2014-10-29
Lakshmi Vilas Bank Ltd,2851.0,13672.0,16523.0,33.45,0.0,(C) Major Private Banks,2014-10-29
South Indian Bank Ltd,7894.0,39490.0,47384.0,203.24,8297.0,(C) Major Private Banks,2014-10-29
Yes Bank Ltd,1391.0,702.0,2093.0,4.83,2099.0,(C) Major Private Banks,2014-10-29
Major Private Banks Sub Total,670273.0,875442.0,1545715.0,22308.47,431858.0,(C) Major Private Banks,2014-10-29
Public Sector Banks,30833241.0,26068406.0,56901647.0,419927.65,32997113.0,Summary,2014-11-05
Regional Rural Banks,9918749.0,1751966.0,11670715.0,51547.74,1202076.0,Summary,2014-11-05
Private Sector Banks,950416.0,982096.0,1932512.0,26051.01,591085.0,Summary,2014-11-05
Grand Total,41702406.0,28802468.0,70504874.0,497526.4,34790274.0,Summary,2014-11-05
Allahabad Bank,1211887.0,547600.0,1759487.0,2369.36,579359.0,(A) Public Sector Banks,2014-11-05
Andhra Bank,739683.0,520331.0,1260014.0,1779.51,1085174.0,(A) Public Sector Banks,2014-11-05
Bank of Baroda,1520802.0,2259269.0,3780071.0,23590.93,3129818.0,(A) Public Sector Banks,2014-11-05
Bank of India,1292467.0,1905860.0,3198327.0,8362.33,2317061.0,(A) Public Sector Banks,2014-11-05
Bank of Maharashtra,764171.0,381058.0,1145229.0,3767.46,464281.0,(A) Public Sector Banks,2014-11-05
Bhartiya Mahila Bank,0.0,35047.0,35047.0,134.32,34763.0,(A) Public Sector Banks,2014-11-05
Canara Bank,2456799.0,1226902.0,3683701.0,67189.38,255717.0,(A) Public Sector Banks,2014-11-05
Central Bank of India,2483341.0,827266.0,3310607.0,8253.33,1540588.0,(A) Public Sector Banks,2014-11-05
Corporation Bank,608838.0,573178.0,1182016.0,7944.67,566873.0,(A) Public Sector Banks,2014-11-05
Dena Bank,786916.0,489933.0,1276849.0,4193.31,864515.0,(A) Public Sector Banks,2014-11-05
IDBI Bank Ltd.,280148.0,281950.0,562098.0,737.64,333740.0,(A) Public Sector Banks,2014-11-05
Indian Bank,1097882.0,669113.0,1766995.0,4651.53,1687501.0,(A) Public Sector Banks,2014-11-05
Indian Overseas Bank,563020.0,1184085.0,1747105.0,824.83,1075041.0,(A) Public Sector Banks,2014-11-05
Oriental Bank of Commerce,822529.0,599402.0,1421931.0,38976.36,703817.0,(A) Public Sector Banks,2014-11-05
Punjab & Sind Bank,530804.0,306778.0,837582.0,19132.44,633487.0,(A) Public Sector Banks,2014-11-05
Punjab National Bank,2883062.0,736281.0,3619343.0,77531.45,1652331.0,(A) Public Sector Banks,2014-11-05
State Bank of Bikaner & Jaipur,554457.0,719304.0,1273761.0,17200.24,1023704.0,(A) Public Sector Banks,2014-11-05
State Bank of Hyderabad,488117.0,1022399.0,1510516.0,3768.84,1299033.0,(A) Public Sector Banks,2014-11-05
State Bank of India,5071942.0,7222147.0,12294089.0,12214.88,6433407.0,(A) Public Sector Banks,2014-11-05
State Bank of Mysore,391366.0,129938.0,521304.0,270.33,500343.0,(A) Public Sector Banks,2014-11-05
State Bank of Patiala,296222.0,564625.0,860847.0,23073.62,767312.0,(A) Public Sector Banks,2014-11-05
State Bank of Travancore,28643.0,254211.0,282854.0,17174.82,109858.0,(A) Public Sector Banks,2014-11-05
Syndicate Bank,1412472.0,800620.0,2213092.0,8695.81,829328.0,(A) Public Sector Banks,2014-11-05
UCO Bank,990158.0,1031129.0,2021287.0,30467.98,1349910.0,(A) Public Sector Banks,2014-11-05
Union Bank of India,2075910.0,693897.0,2769807.0,9024.96,2017502.0,(A) Public Sector Banks,2014-11-05
United Bank of India,1099197.0,771789.0,1870986.0,27612.14,1124990.0,(A) Public Sector Banks,2014-11-05
Vijaya Bank,382408.0,314294.0,696702.0,985.18,617660.0,(A) Public Sector Banks,2014-11-05
Public Sector Banks Sub Total,30833241.0,26068406.0,56901647.0,419927.65,32997113.0,(A) Public Sector Banks,2014-11-05
Allahabad Bank,380031.0,75040.0,455071.0,442.32,73807.0,(B) Regional Rural Bank,2014-11-05
Andhra Bank,78776.0,7401.0,86177.0,0.0,0.0,(B) Regional Rural Bank,2014-11-05
Bank of Baroda,764328.0,229602.0,993930.0,4252.4,305996.0,(B) Regional Rural Bank,2014-11-05
Bank of India,773975.0,172130.0,946105.0,910.06,41650.0,(B) Regional Rural Bank,2014-11-05
